/Users/vladimirpylov/kuvalda_automation_kit/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
[1/4] Discovering article URLs...
Discovered 406 article URLs
[123/406 новая статья 123/406] https://www.kuvalda.ru/blog/articles/raznoe/okonnoe-zaryadnoe-ustroystvo.html
[124/406 новая статья 124/406] https://www.kuvalda.ru/blog/articles/raznoe/samaya-udobnaya-shtuka-dlya-raspakovki-posylok.html
[125/406 новая статья 125/406] https://www.kuvalda.ru/blog/articles/raznoe/porazitelnye-avto-prisposobleniya.html
[126/406 новая статья 126/406] https://www.kuvalda.ru/blog/articles/raznoe/robot-parkovschik.html
[127/406 новая статья 127/406] https://www.kuvalda.ru/blog/articles/raznoe/grafitovye-bashni.html
[128/406 новая статья 128/406] https://www.kuvalda.ru/blog/articles/raznoe/vaza-ognetushitel.html
[129/406 новая статья 129/406] https://www.kuvalda.ru/blog/articles/raznoe/5-krutyh-svetilnikov-v-masterskuyu.html
[130/406 новая статья 130/406] https://www.kuvalda.ru/blog/articles/raznoe/shpionskiy-stol.html
[131/406 новая статья 131/406] https://www.kuvalda.ru/blog/articles/raznoe/stolyarnoe-origami.html
[132/406 новая статья 132/406] https://www.kuvalda.ru/blog/articles/newinstr/tachka-mechty.html
[133/406 новая статья 133/406] https://www.kuvalda.ru/blog/articles/raznoe/lesnoy-multitul.html
[134/406 новая статья 134/406] https://www.kuvalda.ru/blog/articles/raznoe/umnye-bolty.html
[135/406 новая статья 135/406] https://www.kuvalda.ru/blog/articles/raznoe/jumbostay-.html
[136/406 новая статья 136/406] https://www.kuvalda.ru/blog/articles/raznoe/kak-nosit-drova-.html
[137/406 новая статья 137/406] https://www.kuvalda.ru/blog/articles/raznoe/diy-na-kolesah.html
[138/406 новая статья 138/406] https://www.kuvalda.ru/blog/articles/raznoe/blestyaschiy-sposob-ochistit-mashinu-ot-snega.html
[139/406 новая статья 139/406] https://www.kuvalda.ru/blog/articles/raznoe/v-nogu-so-vremenem_2.html
[140/406 новая статья 140/406] https://www.kuvalda.ru/blog/articles/newinstr/bosch-x-lock.html
[141/406 новая статья 141/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/thors-design.html
[142/406 новая статья 142/406] https://www.kuvalda.ru/blog/articles/polz/kak-vybrat-pusko-zaryadnoe-ustroystvo.html
[143/406 новая статья 143/406] https://www.kuvalda.ru/blog/articles/raznoe/bystrozazhimnye-strubciny-svoimi-rukami.html
[144/406 новая статья 144/406] https://www.kuvalda.ru/blog/articles/events/novogodniy-rekord.html
[145/406 новая статья 145/406] https://www.kuvalda.ru/blog/articles/polz/gotovim-snegouborochnuyu-mashinu-k-zime.html
[146/406 новая статья 146/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/ulyanovskiy-must-see.html
[147/406 новая статья 147/406] https://www.kuvalda.ru/blog/articles/polz/vybiraem-snegouborschik.html
